Num,Character,CHRCount,CHR/million,logCHR,CHR-CD,CHR-CD%,logCHR-CD,Pinyin,Pinyin (no tone),tone,initial,final,IDS,lvl1_structure,components
321,必,27960,596.91,4.4465,5667,90.77,3.7534,bì,bi,4,b,i,⿻心丿,⿻,⿻心丿
322,讯,2547,54.38,3.406,1265,20.26,3.1021,xùn,xun,4,x,un,⿰讠卂,⿰,⿰讠卂
323,记,39008,832.77,4.5912,5971,95.64,3.776,jì,ji,4,j,i,⿰讠己,⿰,⿰讠己
324,永,12756,272.32,4.1057,4446,71.22,3.648,yǒng,yong,3,y,ong,永,S,永
325,司,15818,337.69,4.1992,3838,61.48,3.5841,sī,si,1,s,i,⿹𠃌𠮛,⿹,⿹𠃌𠮛
326,尼,19533,417.01,4.2908,2809,44.99,3.4486,ní,ni,2,n,i,⿸尸匕,⿸,⿸尸匕
327,民,9468,202.13,3.9763,2882,46.16,3.4597,mín,min,2,m,in,民,S,民
328,弗,6595,140.8,3.8192,1092,17.49,3.0382,fú,fu,2,f,u,⿻弓⿰丿丨,⿻,⿻弓⿰丿丨
329,弘,323,6.9,2.5092,59,0.95,1.7709,hóng,hong,2,h,ong,⿰弓厶,⿰,⿰弓厶
330,出,129404,2762.62,5.1119,6239,99.94,3.7951,chū,chu,1,ch,u,⿱屮凵,⿱,⿱屮凵
331,辽,28,0.6,1.4472,20,0.32,1.301,liáo,liao,2,l,iao,⿺辶了,⿺,⿺辶了
332,奶,8037,171.58,3.9051,2250,36.04,3.3522,nǎi,nai,3,n,ai,⿰女乃,⿰,⿰女乃
333,奴,1224,26.13,3.0878,551,8.83,2.7412,nú,nu,2,n,u,⿰女又,⿰,⿰女又
334,召,1546,33.01,3.1892,977,15.65,2.9899,zhào,zhao,4,zh,ao,⿱刀口,⿱,⿱刀口
335,加,38160,814.67,4.5816,5829,93.37,3.7656,jiā,jia,1,j,ia,⿰力口,⿰,⿰力口
336,皮,9160,195.55,3.9619,3182,50.97,3.5027,pí,pi,2,p,i,皮,S,皮
337,边,30972,661.21,4.491,5769,92.41,3.7611,biān,bian,1,b,ian,⿺辶力,⿺,⿺辶力
338,孕,3253,69.45,3.5123,1201,19.24,3.0795,yùn,yun,4,y,un,⿱乃子,⿱,⿱乃子
339,发,87630,1870.79,4.9427,6226,99.73,3.7942,fā,fa,1,f,a,发,S,发
